date,Country,mean
2020-02-26,United States,1.2304949848150126
2020-02-27,United States,1.3123106906077706
2020-02-28,United States,1.4295983968777546
2020-02-29,United States,1.58265765498774
2020-03-01,United States,1.7694962159523013
2020-03-02,United States,1.9840875646552816
2020-03-03,United States,2.215344612206077
2020-03-04,United States,2.4473863193459673
2020-03-05,United States,2.661271316239534
2020-03-06,United States,2.837831787535952
2020-03-07,United States,2.9608706764962123
2020-03-08,United States,3.0199283603267983
2020-03-09,United States,3.011984023502062
2020-03-10,United States,2.9416943595444467
2020-03-11,United States,2.8200833766723687
2020-03-12,United States,2.662015195405402
2020-03-13,United States,2.48318380669403
2020-03-14,United States,2.29749247910564
2020-03-15,United States,2.1154504196923116
2020-03-16,United States,1.9437374961328764
2020-03-17,United States,1.7856676949179584
2020-03-18,United States,1.642104259251959
2020-03-19,United States,1.5124339364136659
2020-03-20,United States,1.3953703415217642
2020-03-21,United States,1.2895105426691902
2020-03-22,United States,1.193662306568301
2020-03-23,United States,1.1069941052925956
2020-03-24,United States,1.0290603512011258
2020-03-25,United States,0.9597435822399303
2020-03-26,United States,0.899146321432527
2020-03-27,United States,0.8474607469830268
2020-03-28,United States,0.804840960406523
2020-03-29,United States,0.7712968129324638
2020-03-30,United States,0.7466193310193806
2020-03-31,United States,0.7303387103296808
2020-04-01,United States,0.7217107142926297
2020-04-02,United States,0.7197280527694462
2020-04-03,United States,0.7231578724997964
2020-04-04,United States,0.7306099495099183
2020-04-05,United States,0.7406382953274663
2020-04-06,United States,0.7518712549627656
2020-04-07,United States,0.7631551822118376
2020-04-08,United States,0.7736888530489999
2020-04-09,United States,0.7831228660296475
2020-04-10,United States,0.7916014007982863
2020-04-11,United States,0.7997323912926732
2020-04-12,United States,0.8084843092006133
2020-04-13,United States,0.81901959360397
2020-04-14,United States,0.8324825855460516
2020-04-15,United States,0.8497628190180384
2020-04-16,United States,0.8712562344821758
2020-04-17,United States,0.8966530982369506
2020-04-18,United States,0.9247945079610125
2020-04-19,United States,0.9536522483370596
2020-04-20,United States,0.9804828734992282
2020-04-21,United States,1.0021719313435382
2020-04-22,United States,1.0157235896528634
2020-04-23,United States,1.0187934680220139
2020-04-24,United States,1.010139996106908
2020-04-25,United States,0.9898905569525908
2020-04-26,United States,0.9595661698634574
2020-04-27,United States,0.9218624612430318
2020-04-28,United States,0.8802372686404565
2020-04-29,United States,0.8384015534399029
2020-04-30,United States,0.7998345412543176
2020-05-01,United States,0.7674271603043378
2020-05-02,United States,0.7433005813765025
2020-05-03,United States,0.7287768001204021
2020-05-04,United States,0.7244317707605784
2020-05-05,United States,0.7301580508968655
2020-05-06,United States,0.745197551246212
2020-05-07,United States,0.7681532900233996
2020-05-08,United States,0.7970259925097742
2020-05-09,United States,0.8293283315481291
2020-05-10,United States,0.8623036032022781
2020-05-11,United States,0.893231954709045
2020-05-12,United States,0.919770194088507
2020-05-13,United States,0.9402566847338341
2020-05-14,United States,0.9539199410458484
2020-05-15,United States,0.9609490646931226
2020-05-16,United States,0.9624110731729242
2020-05-17,United States,0.9600332770344336
2020-05-18,United States,0.9559009923385674
2020-05-19,United States,0.9521375723527797
2020-05-20,United States,0.9506257347966028
2020-05-21,United States,0.9528030504704565
2020-05-22,United States,0.9595377179130403
2020-05-23,United States,0.9710770675414991
2020-05-24,United States,0.9870614475871328
2020-05-25,United States,1.006600875142858
2020-05-26,United States,1.0284109604953222
2020-05-27,United States,1.0509952751030434
2020-05-28,United States,1.072849038546699
2020-05-29,United States,1.0926518667045586
2020-05-30,United States,1.1094193746250607
2020-05-31,United States,1.1225930360209204
2020-06-01,United States,1.1320609454239523
2020-06-02,United States,1.1381157671044606
2020-06-03,United States,1.141367431213798
2020-06-04,United States,1.1426339787023718
2020-06-05,United States,1.1428324036836652
2020-06-06,United States,1.1428837512414305
2020-06-07,United States,1.1436374489719943
2020-06-08,United States,1.145813281576496
2020-06-09,United States,1.1499573599000168
2020-06-10,United States,1.1564096892630176
2020-06-11,United States,1.1652827758264936
2020-06-12,United States,1.1764509759350583
2020-06-13,United States,1.1895489935144992
2020-06-14,United States,1.203977177685193
2020-06-15,United States,1.2189134647868856
2020-06-16,United States,1.2333372303682373
2020-06-17,United States,1.2460759939525659
2020-06-18,United States,1.2558868963500518
2020-06-19,United States,1.2615775608697777
2020-06-20,United States,1.262156448606736
2020-06-21,United States,1.2569872743340027
2020-06-22,United States,1.2459131493869775
2020-06-23,United States,1.2293183035271642
2020-06-24,United States,1.2081076882039692
2020-06-25,United States,1.1836031586715408
2020-06-26,United States,1.1573741407669522
2020-06-27,United States,1.131035710464581
2020-06-28,United States,1.1060531283103217
2020-06-29,United States,1.083586375201761
2020-06-30,United States,1.064393186918857
2020-07-01,United States,1.0487915415746012
2020-07-02,United States,1.0366706952861402
2020-07-03,United States,1.0275377684919458
2020-07-04,United States,1.0205922695850498
2020-07-05,United States,1.0148272787187504
2020-07-06,United States,1.0091571004489253
2020-07-07,United States,1.0025650567417712
2020-07-08,United States,0.9942550192171726
2020-07-09,United States,0.9837824181641616
2020-07-10,United States,0.9711396670662322
2020-07-11,United States,0.9567780321241687
2020-07-12,United States,0.9415603088064906
2020-07-13,United States,0.9266524752521382
2020-07-14,United States,0.9133742767869407
2020-07-15,United States,0.9030352026201653
2020-07-16,United States,0.8967810841563527
2020-07-17,United States,0.8954678814632716
2020-07-18,United States,0.8995674844541892
2020-07-19,United States,0.9091021242860761
2020-07-20,United States,0.9236038778857776
2020-07-21,United States,0.9421030530938934
2020-07-22,United States,0.9631580490013711
2020-07-23,United States,0.9849419872110267
2020-07-24,United States,1.0053935713601005
2020-07-25,United States,1.0224231791163632
2020-07-26,United States,1.034147397634141
2020-07-27,United States,1.039113891905557
2020-07-28,United States,1.0364773808156138
2020-07-29,United States,1.0260957440724694
2020-07-30,United States,1.0085302737443906
2020-07-31,United States,0.9849531564741184
2020-08-01,United States,0.9569845788848098
2020-08-02,United States,0.9264955005100293
2020-08-03,United States,0.8954148361387004
2020-08-04,United States,0.8655709583575748
2020-08-05,United States,0.8385820540929487
2020-08-06,United States,0.8157948229938555
2020-08-07,United States,0.7982607047484201
2020-08-08,United States,0.7867339992995162
2020-08-09,United States,0.7816757542889589
2020-08-10,United States,0.7832502563940145
2020-08-11,United States,0.7913073667994607
2020-08-12,United States,0.8053537802268698
2020-08-13,United States,0.8245281130788887
2020-08-14,United States,0.8476045560973545
2020-08-15,United States,0.8730516403816619
2020-08-16,United States,0.8991616571622343
2020-08-17,United States,0.9242437649307671
2020-08-18,United States,0.9468491394080427
2020-08-19,United States,0.9659817047367809
2020-08-20,United States,0.9812487858652595
2020-08-21,United States,0.9929187374059254
2020-08-22,United States,1.0018700045296154
2020-08-23,United States,1.0094342411738193
2020-08-24,United States,1.0171538380535308
2020-08-25,United States,1.0264883951315351
2020-08-26,United States,1.0385111187281875
2020-08-27,United States,1.0536358934624566
2020-08-28,United States,1.071416490519874
2020-08-29,United States,1.0904656658976795
2020-08-30,United States,1.1085447015631642
2020-08-31,United States,1.1228539417613315
2020-09-01,United States,1.1305024410833862
2020-09-02,United States,1.1290679106971873
2020-09-03,United States,1.1171147720082195
2020-09-04,United States,1.094544825305159
2020-09-05,United States,1.062704073074525
2020-09-06,United States,1.0242316070356037
2020-09-07,United States,0.9826924545147556
2020-09-08,United States,0.9420830341825327
2020-09-09,United States,0.9063291331620714
2020-09-10,United States,0.8788911324016098
2020-09-11,United States,0.862534666813425
2020-09-12,United States,0.8592354724722283
2020-09-13,United States,0.8701136118752065
2020-09-14,United States,0.895282567231681
2020-09-15,United States,0.9335716825326672
2020-09-16,United States,0.9822127460392103
2020-09-17,United States,1.0367036147188102
2020-09-18,United States,1.0910781488667187
2020-09-19,United States,1.1386701415813216
2020-09-20,United States,1.173226185450847
2020-09-21,United States,1.1900561979687743
2020-09-22,United States,1.186912737760743
2020-09-23,United States,1.1644099812454751
2020-09-24,United States,1.1259119724157116
2020-09-25,United States,1.0769050578295936
2020-09-26,United States,1.0239785554331389
2020-09-27,United States,0.9736785886057201
2020-09-28,United States,0.931568810412023
2020-09-29,United States,0.9017320583046086
2020-09-30,United States,0.8867243393707636
2020-10-01,United States,0.8877988506943943
2020-10-02,United States,0.9051636505203948
2020-10-03,United States,0.9381152015771933
2020-10-04,United States,0.9850223190915435
2020-10-05,United States,1.0432452335187163
2020-10-06,United States,1.1091219742683722
2020-10-07,United States,1.1781318133992496
2020-10-08,United States,1.2452725549276575
2020-10-09,United States,1.3056027395131011
2020-10-10,United States,1.3548384951837307
2020-10-11,United States,1.3898747393462327
2020-10-12,United States,1.4091170794370647
2020-10-13,United States,1.412553535895942
2020-10-14,United States,1.4015575269446057
2020-10-15,United States,1.3784847098986681
2020-10-16,United States,1.346182281544633
2020-10-17,United States,1.3075430545668194
2020-10-18,United States,1.265200384615536
2020-10-19,United States,1.221394687883904
2020-10-20,United States,1.177981752920086
2020-10-21,United States,1.1365207451739674
2020-10-22,United States,1.0983784548910385
2020-10-23,United States,1.0648043330223413
2020-10-24,United States,1.0369541042551973
2020-10-25,United States,1.0158589935453464
2020-10-26,United States,1.0023494498966241
2020-10-27,United States,0.996947286151159
2020-10-28,United States,0.9997414726477929
2020-10-29,United States,1.0102651189733955
2020-10-30,United States,1.0273985071943377
2020-10-31,United States,1.0493345864995731
2020-11-01,United States,1.0736503008684413
2020-11-02,United States,1.0975161446957848
2020-11-03,United States,1.118040882980709
2020-11-04,United States,1.132699371111381
2020-11-05,United States,1.1397537935229622
2020-11-06,United States,1.1385724628554228
2020-11-07,United States,1.1297750326607245
2020-11-08,United States,1.1151725381824404
2020-11-09,United States,1.0975114444824445
2020-11-10,United States,1.0800683866235168
2020-11-11,United States,1.0661712792783224
2020-11-12,United States,1.0587303048530612
2020-11-13,United States,1.0598407733172979
2020-11-14,United States,1.070481740549251
2020-11-15,United States,1.0903097864054259
2020-11-16,United States,1.1175586362417351
2020-11-17,United States,1.149092265206378
2020-11-18,United States,1.1806806520633855
2020-11-19,United States,1.2075328853604934
2020-11-20,United States,1.225032532956515
2020-11-21,United States,1.2295268454462807
2020-11-22,United States,1.2189854702554939
2020-11-23,United States,1.1933807067540012
2020-11-24,United States,1.1547143127069568
2020-11-25,United States,1.1066890698852414
2020-11-26,United States,1.054093207515124
2020-11-27,United States,1.0020364905492
2020-11-28,United States,0.9552222403789612
