date,Country,mean
2020-03-10,France,2.2045183020167043
2020-03-11,France,1.9098402514433845
2020-03-12,France,1.6605397621815992
2020-03-13,France,1.45126970146803
2020-03-14,France,1.2764390642837191
2020-03-15,France,1.1306625949457731
2020-03-16,France,1.0090315612967957
2020-03-17,France,0.9072460069699465
2020-03-18,France,0.8216504710564099
2020-03-19,France,0.7492092163254493
2020-03-20,France,0.6874482731545353
2020-03-21,France,0.6343830708837145
2020-03-22,France,0.5884434316824307
2020-03-23,France,0.5484025445819468
2020-03-24,France,0.5133130506928273
2020-03-25,France,0.482451243557447
2020-03-26,France,0.45526927141105755
2020-03-27,France,0.4313547624574228
2020-03-28,France,0.41039716881436794
2020-03-29,France,0.39216013714410847
2020-03-30,France,0.3764592740903042
2020-03-31,France,0.3631447491247273
2020-04-01,France,0.35208823759585106
2020-04-02,France,0.34317372345645974
2020-04-03,France,0.3362916466671727
2020-04-04,France,0.33133581588702804
2020-04-05,France,0.32820244579732444
2020-04-06,France,0.3267906483115412
2020-04-07,France,0.32700373143961475
2020-04-08,France,0.3287507593070182
2020-04-09,France,0.3319480042130884
2020-04-10,France,0.33652014271450464
2020-04-11,France,0.3424012503220009
2020-04-12,France,0.34953577596410107
2020-04-13,France,0.35787970127496044
2020-04-14,France,0.36740201817370616
2020-04-15,France,0.3780865257450019
2020-04-16,France,0.38993380996916693
2020-04-17,France,0.4029631848664634
2020-04-18,France,0.4172143667537019
2020-04-19,France,0.43274870501364576
2020-04-20,France,0.44964986656987277
2020-04-21,France,0.46802394930727015
2020-04-22,France,0.4879990794172441
2020-04-23,France,0.5097246133342996
2020-04-24,France,0.5333700884217832
2020-04-25,France,0.5591240425501752
2020-04-26,France,0.5871927815242521
2020-04-27,France,0.61779914407020875
2020-04-28,France,0.6511812859857492
2020-04-29,France,0.6875914322742344
2020-04-30,France,0.7272943752762054
2020-05-01,France,0.7705651859021699
2020-05-02,France,0.8176851522743984
2020-05-03,France,0.8689344550041699
2020-05-04,France,0.9245797272124612
2020-05-05,France,0.984854657675238
2020-05-06,France,1.0499323184090594
2020-05-07,France,1.1198889279687108
2020-05-08,France,1.1946601554965504
2020-05-09,France,1.2739925624377937
2020-05-10,France,1.3573940003173115
2020-05-11,France,1.4440873840977344
2020-05-12,France,1.53297216365537
2020-05-13,France,1.6225974155523333
2020-05-14,France,1.7111504978373897
2020-05-15,France,1.7964661609492847
2020-05-16,France,1.8760626047654312
2020-05-17,France,1.9472120614063488
2020-05-18,France,2.0070525907858476
2020-05-19,France,2.0527438416388533
2020-05-20,France,2.0816623438974444
2020-05-21,France,2.0916222559013726
2020-05-22,France,2.0810973716348244
2020-05-23,France,2.0494127482534594
2020-05-24,France,1.9968729788047352
2020-05-25,France,1.9248008245707615
2020-05-26,France,1.8354736032948153
2020-05-27,France,1.731961827966219
2020-05-28,France,1.6178908576036366
2020-05-29,France,1.497158349396822
2020-05-30,France,1.3736458434823786
2020-05-31,France,1.2509608232851743
2020-06-01,France,1.1322367817985473
2020-06-02,France,1.0200059527962113
2020-06-03,France,0.9161462625457315
2020-06-04,France,0.8218937822704798
2020-06-05,France,0.7379057536186918
2020-06-06,France,0.6643568782435872
2020-06-07,France,0.6010521480313284
2020-06-08,France,0.5475420655648675
2020-06-09,France,0.503229718217007
2020-06-10,France,0.4674630264666314
2020-06-11,France,0.4396090524524955
2020-06-12,France,0.41911023955360027
2020-06-13,France,0.4055246958504863
2020-06-14,France,0.39855402002519463
2020-06-15,France,0.39806265806583413
2020-06-16,France,0.40409246663182197
2020-06-17,France,0.41687526917203593
2020-06-18,France,0.4368449965635261
2020-06-19,France,0.46464971296970276
2020-06-20,France,0.5011625176386068
2020-06-21,France,0.5474889541888739
2020-06-22,France,0.6049670965717237
2020-06-23,France,0.6751549172920596
2020-06-24,France,0.7597979569717881
2020-06-25,France,0.860768836483153
2020-06-26,France,0.9799689928783251
2020-06-27,France,1.1191826129768203
2020-06-28,France,1.279873939063833
2020-06-29,France,1.462923216233947
2020-06-30,France,1.6683049128298337
2020-07-01,France,1.8947253201954577
2020-07-02,France,2.1392549044009757
2020-07-03,France,2.397011766427615
2020-07-04,France,2.6609718412272714
2020-07-05,France,2.921991896066785
2020-07-06,France,3.169123992633103
2020-07-07,France,3.3902671809559486
2020-07-08,France,3.573142556524331
2020-07-09,France,3.7065010056642334
2020-07-10,France,3.781399156384088
2020-07-11,France,3.7923325682590487
2020-07-12,France,3.738014720454165
2020-07-13,France,3.621641352600544
2020-07-14,France,3.450572590611603
2020-07-15,France,3.235478493844281
2020-07-16,France,2.9890991424269204
2020-07-17,France,2.7248406897141217
2020-07-18,France,2.455445600607805
2020-07-19,France,2.191936456548734
2020-07-20,France,1.9429533447791296
2020-07-21,France,1.7145108142534269
2020-07-22,France,1.510118008460871
2020-07-23,France,1.331153159924563
2020-07-24,France,1.177367434386793
2020-07-25,France,1.0474079746043639
2020-07-26,France,0.9392832645383387
2020-07-27,France,0.8507313282398811
2020-07-28,France,0.7794821240652154
2020-07-29,France,0.7234251152919465
2020-07-30,France,0.6807018494169936
2020-07-31,France,0.6497445515782175
2020-08-01,France,0.629278689696653
2020-08-02,France,0.6183028562735845
2020-08-03,France,0.616054769114381
2020-08-04,France,0.6219685421108228
2020-08-05,France,0.6356258968432221
2020-08-06,France,0.6567026296294822
2020-08-07,France,0.6849112085365264
2020-08-08,France,0.7199406054175252
2020-08-09,France,0.7613951685126084
2020-08-10,France,0.8087353792375617
2020-08-11,France,0.8612246024216115
2020-08-12,France,0.9178872533818069
